Work Item Id,Work Item Type,Project Name,Iteration Path,Assigned To,Area Path,Date,Created Date,Activated Date,Resolved Date,Closed Date,Cycle Time Resolved,Changed Date,Iteration Start Date,Iteration End Date,State,State Category,Is Current
1013432,User Story,MP-8465878480,AR-8465801115,"","",2023-07-18 00:00:00,2020-08-04 00:00:00,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-08-05 00:00:00,1,2023-03-31 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1027305,Bug,MP-8465878480,AR-8465801115,AM-6710111097,AR-8465878480,2023-07-18 00:00:00,2020-08-07 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-11 00:00:00,2,2021-08-20 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1033357,Bug,MP-8465878480,AR-8465801115,AM-6710111097,AR-8465878480,2023-07-18 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-12 00:00:00,3,2021-08-20 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1052891,Bug,MP-8465878480,AR-8465801115,AM-6710111097,AR-8465878480,2023-07-18 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-08-18 00:00:00,4,2021-08-20 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1056668,Bug,MP-8465878480,AR-8465801115,AM-6710111097,AR-8465878480,2023-07-18 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,1,2021-08-20 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1027971,Bug,MP-8465878480,AR-8465801115,AM-6910001122,AR-8465878480,2023-07-18 00:00:00,2020-08-07 00:00:00,2020-08-13 00:00:00,2020-08-19 00:00:00,2020-08-21 00:00:00,3,2021-08-01 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1035204,Bug,MP-8465878480,AR-8465801115,AM-7111111697,AR-8465878480,2023-07-18 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-13 00:00:00,4,2021-08-01 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
976766,Bug,MP-8465878480,AR-8465801115,AM-7411797115,AR-8465878480,2023-07-18 00:00:00,2020-07-30 00:00:00,2020-08-11 00:00:00,2020-08-11 00:00:00,2020-08-12 00:00:00,2,2021-08-20 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
1009906,Bug,MP-8465878480,AR-8465801115,AM-7611101122,AR-8465878480,2023-07-18 00:00:00,2020-08-03 00:00:00,2020-08-03 00:00:00,2020-08-11 00:00:00,2020-08-11 00:00:00,1,2021-07-19 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
833476,Bug,MP-8465878480,AR-8465801115,AM-7611101122,AR-8465878480,2023-07-18 00:00:00,2020-06-14 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-11 00:00:00,2,2021-08-20 00:00:00,2020-08-02 00:00:00,2020-08-14 00:00:00,Closed,Completed,TRUE
